[NEW_DOCUMENT: DOCid=0, lang=nah, DOCNAME=CENTE COUATL HUAN TLACATL ].	[NEW_DOCUMENT: DOCid=0, lang=spa, DOCNAME= LA CULEBRA Y EL HOMBRE ].
CENTE COUATL HUAN TLACATL .	LA CULEBRA Y EL HOMBRE .
Cecpa, cente couatl, opanotaya itzallan orne huey quame totomaque. ~~~ In iquac inin opanotaya omallauh quahuitl, ipan ohuetzico; imán otillin yocueloquiz, imán open mocuellohua, mocuellohua.	Especie de hacha. ~~~ Si no estás de acuerdo, trae cuatro personas y delante de ti les preguntaré y verás cómo es cierto que un bien con un mal se pagaFuese luego el buen hombre en busca de cuatro animales machos.
Zan nenca ocachi ipan opachitaya, ye iyomiquía, ihuan cente tlacatl ochantía amo hueca canin oyeya quauhtlatli, oquilnamic oquaquahuizquía, tlen oquichin: ocan intepoznecochtli oya oquaquahuito.	No tuvo que andar muy lejos, cerca de ahí los encontró. ~~~ Llevó un buey, un caballo, un león y un coyote.
Inin oacito quauhtla opanotaya ica nica oyeya couatl oquicac tlazanatza omocuep ontlachix couatl ompon oyeya couatl oquitzatzilli quilhuía: —Qualli tlacatl xihualla xinechiquanilliqui inin quahuitl, nechmictitica. —Amo timitziquanilliz tlamo tinechquaz.	La culebra comenzó a preguntar a cada uno de los animales, delante del buen hombre. —Buen león, ¿no es cierto que un bien con un mal se paga? —Sí. —Buen buey, ¿no es cierto que un bien con un mal se paga? —Sí. —Buen caballo, ¿no es cierto que un bien con un mal se paga? —Sí.
Couatl onahuatl quilhuía: —Amo timitzquaz, xinechiquanilliqui, yotimitzilhui amo timitziquanilliz, amitla timitzchihuilliz; tle amo timoyolcocoa?	Cuando el buen hombre oyó lo que decían aquellos animales, que siempre un bien con un mal se paga, se asustó.
Xihualla xinechiquanilliqui, timitztlatlatía!	Sólo faltaba preguntar al coyote si era o no cierto lo que decía la culebra.
Zazan oquitlatlati couatl, imán tlacatl omopacho, open quitequi ica tepoznecochtli in quahuitl; oncan oquíquanilli, oquiz couatl; open motenpapalohua; yoquinequía tlaquaz; oquipiaya ce tonalli amo otlaquaya.	Llegóse la culebra al coyote: —Buen coyote, ¿no es cierto que un bien con un mal se paga? —Falta que vea yo cómo estabas y así podré decir si es o no cierto lo que dices, y si está bien que te comas a este buen hombre, o no. Ponte como estabas antes.
Ima quitohua: —Qualli tlacatl, ye napizmiqui, axan nia timitzquaz, nicpía ce tonalli amo nitlaquatica.	Los otros animales contestaron juntos: —¡Que se ponga; veremos!
Tlen tiquitohua, qualli tlacatl? —Quénin! ~~~ Tia tinechquaz!	Entonces, la culebra se colocó otra vez entre los árboles, y luego le dijo el coyote: —Ahora, ¡quédate!
Quénin zazan iquión?	Nosotros ya nos vamos.
Inon yo timitziquanilli quahuitl ica otimiquizquía ihuan axcan ticnequi tinechquaz! —Tle tehua qualli tlacatl, amo ticmati que ce qualli ica ce amoqualli moxtlahua? —Amo.	La dejaron retorciéndose y chillando, como cuando la encontró el buen hombre.
